ubicacion,ubicacion_asociada,img_ubicacion,codigo_fr,precio(COP),images,descripcion,Administración,Antigüedad,Área construída,Baños,Estado,Piso N°,Parqueaderos,Pisos interiores,Precio m²,Área privada,Habitaciones,Estrato,Ascensor,Canchas Deportivas,Circuito cerrado de TV,En conjunto cerrado,Garaje(s),Gimnasio,Balcón,Calentador,Citófono,Cocina Integral,Depósito / Bodega,Estudio
"Bella suiza - Bogotá - Bogotá, d.c.","Bella suiza, Usaquen, Altos de Bella Suiza, Bosques del Marques, Ub. delicias del carmen, San gabriel norte, Los alpes, Cerros de los alpes, Bogotá, Zona norte, Bogotá, d.c.",https://static-prod-asset.fincaraiz.com.co/site/fincaraiz_service/media/listing/snap_map/-74.02742549999999x4.7036113/b4ed949b-2931-45f7-a9e1-daf1ed63ed05_POINT.png,10483815,$ 580.000.000,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/5d4701bd-f8da-4761-9a7e-8a187abe5007/photos/5d4701bd-f8da-4761-9a7e-8a187abe5007_1_True_62d14b3f-4f0f-4878-bdf6-ea4443121523.jpg,"Espectacular apartamento linda vista en conjunto cerrado, tres alcobas, dos baños, sala comedor con balcón, estar de tv estudio, cocina cerrada, zona de ropas, dos garajes en línea y depósito, piso en madera laminada, en buen estado de conservación. Conjunto cerrado con variedad de amenidades, club house, salón chimenea, zona de BBQ, GYM, zonas húmedas, piscina, parques infantiles y para mascotas, billar, ping pong. a pocas cuadras de la plaza de Usaquén. un lugar excelente y seguro para vivir en familia.",$ 719.000 COP,16 a 30 años,"93,5 m²",2,Preguntar,6,2,Preguntar,"$ 6.203.208,56*m²","93,5 m²",3,5,1,1,1,1,1,1,1,1,1,1,1,1
Bogotá - Bogotá - Cundinamarca,"Oriente, Bogotá, Girardot, Cundinamarca",https://static-prod-asset.fincaraiz.com.co/site/fincaraiz_service/media/listing/snap_map/-74.828718x4.398277999999999/efa3fcbe-41bb-4102-ae44-e6010f557c0c_POINT.png,10313139,$ 90.000.000,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/d40e680f-85b5-42c3-8a80-cdf8423cf440/photos/d40e680f-85b5-42c3-8a80-cdf8423cf440_1_True_5b913e77-701a-4db8-8dfe-fc25383f1031.jpg,"SE VENDE LOTE EN CONJUNTO CERRADO BRISAS DE LA MONTAÑA UBICADO NARIÑO - CUNDINAMARCA AREA 400 METROS CUADRADOS EL CONJUNTO CUENTA CON: SERVICIOS PUBLICOS, VIGILANCIA LAS 24 HORAS, DOS PISCINAS, CANCHAS DE TENNIS, PING - PONG, SALA DE BILLAR, ZONA BBQ, VIAS DE ACCESO PAVIMENTADAS. VALOR VENTA $90.000.000.",Preguntar,Preguntar,400 m²,Preguntar,Preguntar,Preguntar,Preguntar,Preguntar,$ 225.000*m²,400 m²,Preguntar,4,,,,,,,,,,,,
